es_topic_id,description,topic_name
18,Supports identifying patients due or overdue for vaccinations using IIS data. This could be exposed to external systems through standardized queries or bulk data access. It builds on existing IIS capabilities but is not consistently available through interoperable interfaces. Interest is moderate and may align with bulk data exchange approaches.,Reminder/Recall Services
19,"Supports issuing verifiable digital vaccination records using SMART Health Cards, originally implemented for COVID-19 vaccines. Some IIS have deployed this capability, with discussions about expanding to all immunizations. It uses FHIR-based data models and QR codes for sharing credentials. This is not currently a national priority, and broader adoption remains uncertain.",Digital Vaccine Cards (SMART Health Cards)
20,"Supports indicating when a vaccine recommendation is classified as Shared Clinical Decision Making by the schedule authority. This allows IIS responses to reflect more nuanced guidance beyond routine recommendations. It is typically conveyed within HL7 v2 RSP messages as part of CDS output. Interest exists as schedules evolve, though implementation is still emerging.",CDS Shared Decision Support (SCDM)
21,"Supports validating individual data elements such as names, phone numbers, email addresses, or lot numbers through a common service. This could provide consistent feedback on data quality across multiple fields and use cases. It may be implemented as an API rather than traditional HL7 v2 messaging. Interest is exploratory, with potential to standardize validation across IIS.",Data Validation Services
22,"Uses HL7 v2 ADT messages to communicate patient demographic updates to IIS. This can improve data quality by keeping patient records current without requiring full immunization submissions. While common in hospital systems, adoption within IIS is inconsistent. Interest is moderate but not universal across jurisdictions.",Patient Updates (ADT)
23,"Supports providing submitters with insight into how IIS processes incoming data, including which patient or vaccination records were accepted, updated, or ignored. This could help advanced submitters understand IIS matching and merging behavior and improve their own data quality. It extends beyond standard HL7 v2 ACK responses, which provide limited detail. Interest exists, though this level of transparency is not widely implemented today.",Data Merge Visibility
24,"Supports automating provider enrollment into IIS using standardized APIs. This could allow EHR systems to submit required information directly, reducing manual processes for clinicians and IIS staff. It extends beyond traditional HL7 v2 exchange into administrative workflows. Interest is growing as onboarding processes remain resource-intensive.",Provider Enrollment Integration
25,"Supports communicating which schedule authority (such as ACIP or others) produced a given immunization recommendation. This allows IIS to return recommendations based on multiple schedules or jurisdictions. It is typically conveyed within HL7 v2 RSP messages as part of CDS output. Interest is growing where non-ACIP schedules are relevant, though adoption is still limited.",CDS Schedule Source
26,"Explores improving authentication for the CDC WSDL interface used by IIS for HL7 v2 exchange. Current implementations often rely on long-lived shared secrets, which do not meet modern security expectations. This would introduce more robust approaches such as OAuth2 while maintaining compatibility with existing workflows. Interest is growing as systems look to strengthen security without replacing established interfaces.",CDC WSDL Authentication
27,"Explores capturing and transmitting original digital vaccination records to IIS as supporting documentation for historical doses. Instead of entering a vaccination from a paper record or manual transcription, the IIS could receive the signed digital artifact (such as a pharmacy-issued record or International Patient Summary) alongside the immunization data. This extends provenance beyond simple source attribution to include verifiable original documentation. This is not a current IIS capability and interest is exploratory, but it may become relevant as digital records re-emerge in future workflows.",Digital Record Provenance
28,"Supports publishing the set of codes used by an IIS, including standard codes such as CVX and local codes like organization identifiers. This could improve transparency, validation, and alignment across systems. It may leverage FHIR terminology services or similar approaches. Interest is growing as systems seek more visibility into supported values.",IIS Terminology Services
29,"Explores synchronizing vaccine inventory between IIS and EHR systems to maintain a consistent view of available doses. This addresses limitations in current lot decrementing approaches, which attempt to approximate inventory usage. It would require bidirectional exchange beyond standard HL7 v2 workflows and likely new coordination models. Interest is exploratory, with significant complexity and no clear standard approach yet.",Inventory Synchronization
30,Supports keeping immunization records synchronized between IIS and external systems. This goes beyond one-time exchange to maintain alignment over time. It may involve HL7 v2 messaging patterns or newer API-based approaches. Interest exists but use cases and approaches are still evolving.,Record Synchronization
31,"Supports the CDC in maintaining and expanding the CVX code system to represent any vaccination, given at any time, to any person, anywhere in the world. This ensures IIS can capture complete and consistent immunization histories across diverse settings. It builds on existing HL7 v2 and FHIR use of CVX codes rather than introducing a new exchange standard. This is a foundational capability for future interoperability, though most IIS rely on it indirectly rather than engaging directly.",Immunization Vocabularies Collaboration (IVC)
32,"Supports sharing a standardized summary of patient health data, including immunizations, across countries or systems. This uses FHIR-based profiles designed for international exchange. IIS may contribute immunization data to these summaries but do not typically manage them directly. Interest exists but may not be a primary IIS focus.",International Patient Summary (IPS)
33,Enables large-scale retrieval of patient immunization data using FHIR APIs rather than individual QBP queries. This supports population-level use cases such as analytics or data sharing. It contrasts with HL7 v2?s patient-by-patient query model. Interest exists but is currently limited to specific partners or projects.,Bulk Data Exchange (FHIR Bulk Data)
34,Addresses tracking and reporting of vaccine inventory levels within IIS or connected systems. This is a programmatic need that may be supported by HL7 v2 or FHIR-based standards. Implementation varies widely across jurisdictions. Interest exists but standardization is still limited.,Vaccine Inventory Management
35,"Supports providing standardized reports that summarize data quality issues over time for submitting systems. This could include trends, error types, and completeness metrics. It complements HL7 v2 validation by offering feedback outside of real-time message processing. Interest is strong, though formats and access methods vary across IIS.",Data Quality Reporting
36,Explores capturing and communicating vaccine exemptions or deferrals within IIS. This became more visible during COVID-19 but is not consistently managed across jurisdictions. It would require additional data elements beyond standard HL7 v2 immunization reporting. Interest is uncertain and may be limited moving forward.,Vaccine Exemptions and Deferrals
37,"Supports sharing immunization data with school systems for compliance and reporting purposes. This is a common programmatic need but lacks consistent national standards. It may use HL7 v2, flat files, or emerging API-based approaches. Interest is high, but standardization remains limited.",School Data Exchange
38,Addresses challenges with temporary or changing names for newborn patients in IIS. This impacts patient matching and record accuracy. It is typically handled within HL7 v2 workflows using ADT updates or VXU corrections. Interest is ongoing but solutions are often local.,Newborn Identity Handling
39,"Supports aligning vaccine inventory counts between IIS and provider systems to reflect actual stock levels. This addresses gaps in current processes where discrepancies can occur over time. It may involve bidirectional exchange beyond standard HL7 v2 workflows. Interest exists, but solutions are complex and not yet standardized.",Inventory Reconciliation
40,Supports generating official immunization records in PDF format for patients or providers. This is a common output requirement but not tied to a specific interoperability standard. It may be derived from IIS data or external systems. Interest is steady but not an emerging standards focus.,Official Record Documents (PDF)
41,"Addresses how IIS integrate with or standardize patient matching processes. All IIS perform matching, but there is no common standard for how matching services are integrated. This may involve HL7 v2 identifiers or FHIR-based approaches. Interest is limited despite its importance, as solutions are often local.",Patient Record Matching Integration
42,"Supports reporting of vaccinations from pharmacies to IIS and potential bidirectional exchange. Pharmacies are a major source of immunization data, especially for adult populations. This typically uses HL7 v2 VXU but may expand to FHIR APIs. This is a core and growing area of IIS interest.",Pharmacy Integration
43,"Provides a standardized way to issue verifiable digital vaccination records to individuals. Developed during the COVID-19 pandemic using FHIR-based data models and QR codes. While widely adopted for COVID credentials, ongoing IIS interest is variable. This is a consumer-facing capability rather than a core IIS exchange standard.",Digital Vaccine Cards (SMART Health Links)
44,"Refines how errors are communicated in HL7 v2 ACK messages, specifically using the ERR-5 field. This has been incorporated into existing guidance through the ACK Technical Advisory Bulletin and will be included in the CDC HL7 v2 Guide (Release 2). It improves clarity and consistency in error reporting for submitters. This is a defined enhancement rather than an emerging area of work.",ACK Error Reporting (ERR-5)
45,"Defines how IIS confirm receipt and processing of HL7 v2 VXU messages. This is a core and widely implemented capability, forming the backbone of IIS data exchange reliability. It uses HL7 v2 ACK message patterns to indicate success, errors, or required corrections. This area is mature and broadly adopted, with",Acknowledgements (ACK)
46,"Refers to reporting vaccine adverse events to the national VAERS system. This is not a core IIS function and is typically handled by providers or other systems. While occasionally discussed, IIS involvement is minimal. Interest is currently limited within the IIS community.",Adverse Event Reporting (VAERS)
47,"Supports exchanging summarized or population-level data rather than individual patient records. This is defined through IHE profiles and could support IIS reporting, analytics, or coordination with other public health systems. It differs from HL7 v2 VXU/QBP patterns, which focus on patient-level data exchange. Interest is exploratory, as the role of IIS in aggregate exchange is not yet clearly defined.",Aggregate Data Exchange (IHE)
48,"Explores whether IIS could capture and manage data related to antiviral medications alongside immunizations. This is not a core IIS function, though at least one IIS has implemented it. It would extend beyond current HL7 v2 immunization-focused standards and require new data models or exchange patterns. Interest is currently limited and the broader role for IIS is unclear.",Antiviral Tracking
49,"Explores whether IIS could support or integrate with vaccination appointment scheduling systems. This emerged during COVID-19, where scheduling tools were often separate from IIS. It may involve APIs or other integration patterns rather than traditional HL7 v2 messaging. This is not a core IIS function, and interest remains exploratory with unclear long-term direction.",Appointment Scheduling Integration
50,"Supports sending large volumes of immunization updates in a single transaction rather than individual HL7 v2 VXU messages. This could improve efficiency for onboarding, corrections, or system-to-system updates. It contrasts with real-time messaging by focusing on high-volume data movement, potentially using file-based or API approaches. Interest exists, but the role and standard approach for IIS are not yet well defined.",Bulk Data Submission
51,"Refers to the CDC-published HL7 v2.5.1 Implementation Guide used nationally for IIS data exchange. It standardizes VXU/ACK and QBP/RSP interactions across jurisdictions. While foundational, many IIS have already implemented this version and are transitioning to updated guidance. This is a mature baseline rather than an active area of emerging work.",CDC HL7 v2 Guide (Release 1.5)
52,"Refers to the next version of the CDC HL7 v2.5.1 Implementation Guide, developed through the IGEG process. This will update and refine national standards for VXU/ACK and QBP/RSP interactions. It builds directly on existing IIS implementations and reflects current community practices. This is an active and central effort for IIS interoperability.",CDC HL7 v2 Guide (Release 2)
53,Focuses on improving how immunization evaluations and recommendations are conveyed in HL7 v2 RSP messages. This includes tighter guidance and more consistent representation of CDS output. It builds on existing standards rather than introducing new exchange models. This is an active refinement area aligned with CDC HL7 v2 Guide (Release 2).,CDS Response Improvements (RSP)
54,"Supports displaying immunization recommendations within an EHR workflow using the CDS Hooks standard. This is primarily an EHR-facing capability, but IIS or external CDS engines could support it by providing patient immunization data or recommendation services. It uses a FHIR-based interaction model rather than HL7 v2 messaging. This is not a core IIS function, and interest is currently limited, but it may help align IIS-supported CDS with modern clinical workflows.",Clinical Decision Support (CDS Hooks)
55,"Developed during the COVID-19 pandemic to support reporting of vaccination and related data to CDC. This includes specialized reporting workflows outside typical IIS exchange patterns. While critical during the public health emergency, interest is now declining as reporting needs stabilize. This is not a core long-term IIS standard focus.",COVID-19 / Mpox Reporting
56,"This idea builds on the existing Data-at-Rest (DAR) extract format already used by IIS for AIRA reporting, where data is exported and processed by the DAR Command Line Interface (CLI). The concept is to expand that format beyond its current use and standardize it as a general-purpose flat file for IIS data export. This could provide a consistent, extensible alternative to the many one-off extract formats currently in use. Interest is exploratory, and this is not part of the current DAR reporting process.",Data Export Format (DAR-Based)
57,Explores whether IIS should collect and manage disability-related information as part of immunization records. This is not a core IIS function but may be required by specific legislation in some jurisdictions. It would require new data elements beyond current HL7 v2 standards. Interest is limited and driven by local requirements.,Disability Data Collection
58,"Supports standardized reporting of vaccinations to CDC during public health emergencies, replacing ad hoc flat-file approaches used during COVID-19 and Mpox. This would use HL7 v2 messaging patterns to provide more consistent and real-time data exchange. It focuses on rapid reporting needs outside normal IIS workflows. Interest exists, but future requirements and scope are uncertain.",Emergency Vaccination Reporting
59,"Supports exporting IIS data using a standardized flat file format. While HL7 v2 and FHIR are preferred for interoperability, flat files remain necessary for certain use cases. This proposes selecting and promoting a common format to reduce duplication of one-off specifications. Interest exists, but this remains an exploratory standardization effort.",Flat File Data Export
60,Explores integration between IIS and Homeless Management Information Systems (HMIS). This is not a core IIS function but may support public health efforts for underserved populations. It would require mapping between different data models and standards. Interest is limited and driven by specific program needs.,Homeless Data Integration (HMIS)
61,"Explores providing direct, on-demand access to IIS aggregate metrics currently reported through IISAR. This would allow systems to query statistics for specific time periods rather than relying on manual reporting processes. It represents a shift from static reporting to a query-based interface. Interest exists, but the appropriate standard and scope are still being defined.",IIS Metrics Access (IISAR)
62,"Describes data exchange between IIS jurisdictions to support patient mobility and record consolidation. This is standardized through a companion guide and implemented nationally using the IZ Gateway, leveraging HL7 v2 VXU and QBP/RSP message patterns. This is a defined and operational approach rather than an emerging area of work.",IIS-to-IIS Exchange
63,Supports querying IIS for lead blood level data in jurisdictions that collect it. This is not a core IIS function but reflects expanded use in some public health programs. It would require extending current query patterns beyond immunization data. Interest is limited and dependent on local requirements.,Lead Test Query
64,Supports submitting lead blood level data to IIS in jurisdictions that collect it. This is not a core IIS function and would likely require coordination with broader public health standards. It extends beyond current HL7 v2 immunization reporting. Interest is limited and driven by specific program needs.,Lead Test Reporting
65,"Defines how LOINC codes are used within HL7 v2 OBX segments for immunization data. This supports consistent representation of observations such as vaccine type, dose validity, and related attributes. It builds on existing HL7 v2 guidance rather than introducing new exchange patterns. Interest is ongoing as part of improving consistency and clarity in implementations.",LOINC Usage in OBX
66,Provides guidance on transmitting a patient?s preferred name alongside their legal name in HL7 v2 messages. This supports more accurate and respectful identification of patients. This has been addressed in existing Technical Advisory Bulletin (TAB) guidance. This is a defined enhancement rather than an emerging area of work.,Preferred Name (Patient)
67,"Supports identifying patients as part of defined priority groups, such as those used during pandemic response. This was implemented by some IIS during COVID-19 to support reporting and allocation. It requires additional data elements beyond standard HL7 v2 messaging. Interest is limited outside of emergency scenarios.",Priority Group Classification
68,Explores capturing and exchanging serology (antibody) test results related to immunization status. This was discussed during the COVID-19 pandemic but was not implemented in IIS workflows. It would extend beyond standard HL7 v2 immunization reporting into laboratory result interpretation. Interest is currently very limited and future adoption is unlikely.,Serology Reporting
69,"Explores collecting sexual orientation and gender identity data within IIS. This is not a core IIS function but has been raised as a potential area of interest. It would require new data elements beyond current HL7 v2 standards. Interest exists in the community, though it is not supported by current federal initiatives.",Sexual Orientation & Gender Identity (SOGI)
70,"Explores how SMART on FHIR applications could interact with IIS to provide user-facing tools or enhanced workflows. This could enable third-party apps to securely access IIS data through standardized APIs. It represents a shift from HL7 v2 messaging toward app-based integration models. Interest is exploratory, and the role for IIS is not yet defined.",SMART Applications (SMART on FHIR)
71,Explores capturing and exchanging tuberculosis screening data within IIS. This is not a core IIS function but may be required by specific jurisdictions. It would require coordination with broader public health standards beyond immunizations. Interest is limited and driven by local requirements.,TB Screening Data
72,"Explores providing services to help individuals locate available vaccines, often based on inventory or provider location. This emerged during COVID-19 as separate tools outside IIS. It may involve integrating inventory data with external applications rather than traditional HL7 v2 exchange. This is not a core IIS function, and interest is exploratory.",Vaccine Availability Search
73,Explores whether IIS could support tracking vaccine storage conditions and temperature monitoring. This extends beyond immunization records into supply chain and compliance activities. It may involve integration with external systems rather than standard HL7 v2 messaging. Interest is exploratory and not widely adopted.,Vaccine Storage & Temperature
74,"HL7 meeting that operates under the HL7 Public Health Work Group to hold discussions about new and emerging standards, in particular FHIR based projects.",Immunization Focus Group (IFG)
75,"Update/acknowledgement with public health/IIS via FHIR. This means providing an alternative FHIR method to the HL7 v2 VXU and ACK messages, This includes the matching of the patient record, the submission of immunization history, and the returning of data quality issues and results of acceptance into the IIS.",VXU on FHIR
76,"Query/response with public health/IIS via FHIR. This is a discussion on the alternative FHIR solution(s) HL7 v2 QBP/RSP. The alternative solution(s) include support for matching the patient (including resolution of potential matches), returning the immunization history, returning the evaluation and recommendations for that patient based on the history.",QBP on FHIR
77,"HL7 v2.5.1 messaging between a school information system and an IIS, to support the exchange of student roster information.",HL7 v2.5.1 School Roster Reporting
78,Automation in the protocol and processes to establish exchange with IIS.,ADT on FHIR
79,Public health query to healthcare for demographic/other updates.,Bulk FHIR Query
80,"Clinical Quality Language (CQL) is a high-level, domain-specific language focused on clinical quality and targeted at measure and decision support artifact authors.",Clinical Quality Language
81,Privacy-Enhancing Health Record Locator Service (PEHRLS) Ecosystem is developing a new Standard to support a voluntary nationwide patient credential and matching ecosystem,Direct Trust
82,Translation of HL7 v2.5.1 to FHIR and/or FHIR to v2.5.1.,HL7 v2 to FHIR Translation
83,International standard for the unique identification of regulated medicinal products.,Identification of Medicinal Products (IDMP)
84,IIS querying EHR for non-IIS Data via FHIR. Overlaps with CDS. Would IIS even want this?,IIS to EHR Query
85,"IIS do not typically collect Insurance information, but some IIS have explored storing insurance information via HL7 on Provider request.",Insurance
86,"Machine learning, artificial intelligence, large language models",Machine Learning
87,Allow providers who operate across multiple jurisidictions (e.g. VHA or DOD) to query more than one IIS at the same time.,Multi-Jurisdictional Query
88,The NANI Profile describes the content needed to communicate a timely newborn admission 135 notification to public health to be used by Early Hearing Detection and Intervention (EHDI) screening programs.,Newborn Admission Notification Information  (NANI)
89,"These are multidisciplinary groups of national experts (scientists, doctors, health specialists) that provide independent, evidence-based recommendations to policy-makers and immunization program managers regarding vaccines.",National Immunization Technical Advisory Groups
90,Identification of specific products with serialized identification codes.,Product Identifiers/Serialization
91,Recording of race and ethnicity in the US is going through a transition. Some changes to HL7 v2 may be needed.,Race/Ethnicity
92,"Social Determinants of Health play a large role in healthcare, but what is their role within IIS?",Social Determinants of Health (SDOH)
93,Exploring FHIR for astronaut health records and immunizations in spaceflight scenarios (SHIG),Space Health
94,Creating data that can be used for demonstrations and testing.,Synthetic Data
95,"VTrckS (Vaccine Tracking System) is a secure, web-based system developed by the CDC to manage publicly-funded vaccine supply chains. It integrates purchasing, ordering, and distribution workflows for state, local, and territorial health departments and healthcare providers. VTrckS enables efficient vaccine management ? including during emergencies and pandemics ? through its ExIS (External Information System) interface for seamless coordination and data exchange.",VTrcks-IIS API
96,Review of open tickets in JIRA for FHIR relating to immunizations.,FHIR Open Tickets
97,"The Immunization Integration Program (IIP) strives to improve the way immunization data is shared, managed, and used to promote public health. The IIP is a partnership between AIRA, Healthcare Information and Management Systems Society (HIMSS), and Drummond Group, in cooperation with the Centers for Disease Control and Prevention's National Center for Immunization and Respiratory Diseases.",IIP Collaborative
98,"Significant resources are needed for every site involved in the immunization ecosystem to identify themselves as an immunizing provider for the site. Currently, every jurisdiction with an IIS has a unique and separate way of identifying immunizing sites. A national strategy and framework for identification could go a long way to streamline and standardize site identifiers. Some have suggested that National Provider Identifier (NP) might be a solution but these have their challenges too as they can identify both people and organizations and not all providers have NPI.",Provider Identifier
99,"General topic about improving matching, including how patients are identified and how these identities are resolved between systems during interoperability.",Patient Record Matching
100,"Query by Parameter (QBP) allows for querying systems to retrieve immunization histories, immunization evaluations, and immunization recommendations.",Query by Parameter (QBP)
101,"When obtaining historical information from patients about when they received vaccines, sometimes the exact dates of the vaccine administration aren't known. Having the exact dates is ideal, if possible, but in many cases, it is not necessary to have an exact date to know whether a patient is due, overdue, or up to date. For example, if a 10-year-old received an influenza vaccine in October, he/she is up to date for the current season - the exact date of the vaccine is not necessary. Similarly, if an adult last received a Tetanus vaccine in 2005 and arrives in the ER with a dirty wound, it is clear the patient needs a booster. Most systems require users to enter exact dates, even if the information isn't accurate (i.e., entering '2015-01-01' if only 2015 is known). This bad data can potentially be clinically misleading when propagated to other systems and can skew downstream use of the data in research, reports and analytics.",Estimated Vaccination Dates
102,Vaccinations are sometimes administered but considered to not count for calculating immunity because of a cold chain break (vaccination is not longer effective) or not administered properly (patient did not get the full dose.) The administration must be recorded but clinical staff and CDS logic needs to not count the dose as valid.,Subpotent Vaccinations
103,FDA is transitioning NDC from 10-digit to 12-digit. It's a major transformation that will take years to complete.,NDC Transition to 12-Digit Format
104,National Health Service (NHS) England is a quango that organizes and manages the care for everyone in England. (Care for other countries in the UK such as Scotland are handled by separate organizations.),England
105,"Explore how Canada organizes immunization programs and exchanges information across provinces and territories. Particular areas of interest include vaccine coding, registry architecture, standards adoption, and similarities and differences with U.S. approaches.",Canada
106,"Examine Mexico's immunization information systems, coding practices, and data exchange approaches. Existing language skills and personal connections provide opportunities to establish relationships and better understand vaccination workflows in the region.",Mexico
107,"Study France's immunization ecosystem, including national recommendations, coding practices, and interoperability approaches. Existing participation from French experts in IVC creates opportunities for continued collaboration and deeper understanding.",France
108,"Investigate Norway's health information infrastructure and immunization data practices. Norway's mature digital health systems may provide useful comparisons for standards, registries, and data governance.",Norway
109,"Review Australia's national immunization systems and standards environment. Australia has an active immunization community and shares many interests with New Zealand, making it a valuable partner for comparative work.",Australia
110,"Explore New Zealand's immunization systems, coding approaches, and standards activities. Because New Zealand often collaborates closely with Australia, examining both countries together may reveal common patterns and opportunities for shared learning.",New Zealand
111,Document immunization data collection and exchange practices in the Philippines and identify opportunities for collaboration. Existing personal connections may help establish relationships and provide insight into local systems and challenges.,Philippines
112,Examine the Netherlands' approach to digital health and immunization interoperability. Participation from Dutch experts in recent IVC activities makes this a natural extension of existing community relationships.,Netherlands
113,Study Finland's national health information infrastructure and vaccine information systems. Finland's strong public health and digital health capabilities may provide valuable lessons for standards and data exchange.,Finland
114,"Explore Spain's immunization systems and governance structure, including how regional and national organizations coordinate data and standards. Existing contacts through previous IVC participation provide a foundation for future engagement.",Spain
115,Investigate NHS Scotland's immunization systems and standards practices. Previous presentations and the United Kingdom's experience with national health infrastructure make Scotland an attractive candidate for knowledge sharing and collaboration.,Scotland
116,"Explore the role of the Pan American Health Organization in supporting immunization programs and health information systems throughout the Americas. Particular areas of interest include regional standards, digital health initiatives, terminology and coding efforts, and the ways PAHO helps countries collaborate and share information. Engagement with PAHO offers opportunities to understand common challenges across the region and to connect with experts involved in immunization and interoperability activities.",Pan American Health Organization (PAHO)
117,The Unified Nomenclature of Vaccines (NUVA) is designed to compile comprehensive vaccination histories from both digital and physical sources. The aim is to build precise and interpretable vaccination records that can be used by information systems to manage patientcare and vaccination recommendations.,Unified Nomenclature of Vaccines (NUVA)
118,"FHIR DevDays is the world?s leading international conference dedicated to HL7 FHIR (Fast Healthcare Interoperability Resources). It brings together developers, policymakers, healthcare leaders, and IT specialists to learn about FHIR standards, share real-world implementation strategies, and shape the future of digital health interoperability",FHIR Dev Days
119,"The Fact of Death Exchange topic focuses on the standardized electronic exchange of verified patient death information between Vital Records Offices (VROs), healthcare providers, public health agencies, Immunization Information Systems (IIS), and other authorized organizations. The goal is to improve the timely and accurate communication of a patient's death status to reduce inappropriate outreach, improve data quality, support public health operations, maintain accurate longitudinal records, and enable consistent workflows across jurisdictions. Discussion includes FHIR implementation guides, event notification, identity matching, patient reconciliation, jurisdictional and cross-jurisdiction exchange, privacy and legal considerations, authorization policies, workflow triggers, and the broader use of death notifications throughout the healthcare and public health ecosystem.",Fact of Death Exchange
120,"Interviews and relationship-building with countries, regional organizations, terminology authorities, and other partners to understand immunization vocabulary use, coding systems, data exchange practices, and opportunities for alignment.",Building Bridges
121,"The Message Quality Evaluation Tool, or MQE, is an open-source application developed to help Immunization Information Systems (IIS) evaluate and improve the quality of incoming immunization data. MQE analyzes HL7 v2 messages, including VXU data feeds from providers, EHRs, pharmacies, and other submitters, and produces web-based reports and metrics that identify data quality issues, validation problems, onboarding concerns, code set errors, vaccine type issues, and other message quality patterns. IIS programs can use MQE as a stand-alone tool or integrate it into IIS workflows to support automated evaluation, quality assurance, submitter onboarding, data feed monitoring, and decisions about whether incoming messages are ready for production processing. As an AIRA Joint Development and Implementation project, MQE supports the IIS community by promoting consistent data quality checks, shared metadata, common reporting, and collaboration across jurisdictions, submitters, and immunization interoperability partners.",Message Quality Evaluation Tool (MQE)
122,"Examine Dubai?s immunization information systems, coding practices, and health information exchange approaches, with an initial focus on Dubai Health Authority and NABIDH. Existing connections through Dubai digital health leadership provide an opportunity to understand how immunization data from HIE infrastructure can be mapped, reused, and governed for public health operations, reporting, and regional interoperability.",Dubai
123,"Explores the security architecture used by immunization information systems and their external interfaces for HL7 v2, FHIR, SOAP, REST, and other forms of health data exchange. This topic brings together transport security, TLS, server and client identity, authentication, authorization, OAuth 2.0, JWTs, mutual TLS, shared secrets, certificates, credential rotation, and related operational responsibilities. It provides an overarching space for understanding how these mechanisms fit together and for identifying where IIS-specific standards, guidance, modernization, or community coordination may be needed.",Interface Security
124,"Explores how immunization information systems, IIS vendors, state IT organizations, hosting providers, and exchange partners issue, install, renew, rotate, monitor, revoke, and track digital certificates used for secure interfaces. This includes TLS server certificates, client certificates, mutual TLS, S/MIME and IZ Gateway certificates, certificate authorities such as DigiCert and Let?s Encrypt, ACME-based automation, DNS validation, expiration monitoring, private-key protection, deployment responsibilities, costs, and prevention of certificate-related outages. The topic will support sharing jurisdiction practices and determining whether common guidance, checklists, responsibility models, or automation recommendations are needed.",Certificate Management
